sales_id,date,store_id,product_id,unit_price,quantity_sold,discount,payment_method
S138,2024-01-06 18:00:00,ST3,P640,665,5,0.15,M-Pesa
S139,2024-01-06 19:00:00,ST1,P307,421,1,0.0,Card
S140,2024-01-06 20:00:00,ST5,P534,612,5,0.1,Bank
S141,2024-01-06 21:00:00,ST26,P728,411,4,0.0,M-Pesa
S142,2024-01-06 22:00:00,ST14,P619,161,1,0.05,Cash
S143,2024-01-06 23:00:00,ST39,P109,502,7,0.05,Card
S144,2024-01-07 00:00:00,ST27,P372,805,1,0.15,M-Pesa
S145,2024-01-07 01:00:00,ST9,P357,218,8,0.1,Cash
S146,2024-01-07 02:00:00,ST15,P181,633,2,0.1,Cash
S147,2024-01-07 03:00:00,ST15,P356,188,5,0.15,M-Pesa
S148,2024-01-07 04:00:00,ST26,P676,897,6,0.05,Bank
S149,2024-01-07 05:00:00,ST42,P68,280,9,0.05,Cash
S150,2024-01-07 06:00:00,ST13,P292,288,7,0.15,Card
S151,2024-01-07 07:00:00,ST32,P692,302,6,0.1,Cash
S152,2024-01-07 08:00:00,ST39,P181,485,5,0.15,Bank
S153,2024-01-07 09:00:00,ST49,P466,968,6,0.15,Card
S154,2024-01-07 10:00:00,ST32,P434,610,4,0.0,Card
S155,2024-01-07 11:00:00,ST4,P464,471,1,0.15,Card
S156,2024-01-07 12:00:00,ST30,P681,352,9,0.05,M-Pesa
S157,2024-01-07 13:00:00,ST37,P914,121,5,0.15,Cash
S158,2024-01-07 14:00:00,ST23,P534,312,8,0.1,Bank
S159,2024-01-07 15:00:00,ST39,P66,883,7,0.1,M-Pesa
S160,2024-01-07 16:00:00,ST45,P21,271,8,0.05,M-Pesa
S161,2024-01-07 17:00:00,ST15,P612,126,1,0.1,Card
S162,2024-01-07 18:00:00,ST43,P384,111,9,0.15,M-Pesa
S163,2024-01-07 19:00:00,ST29,P812,520,1,0.05,Cash
S164,2024-01-07 20:00:00,ST36,P615,206,3,0.1,M-Pesa
S165,2024-01-07 21:00:00,ST13,P559,855,8,0.15,M-Pesa
S166,2024-01-07 22:00:00,ST32,P39,174,1,0.1,Card
S167,2024-01-07 23:00:00,ST7,P285,790,1,0.0,Card
S168,2024-01-08 00:00:00,ST22,P822,901,6,0.1,M-Pesa
S169,2024-01-08 01:00:00,ST28,P602,210,5,0.05,Card
S170,2024-01-08 02:00:00,ST2,P597,590,6,0.15,Bank
S171,2024-01-08 03:00:00,ST42,P785,675,3,0.15,Bank
S172,2024-01-08 04:00:00,ST45,P336,640,6,0.05,Bank
S173,2024-01-08 05:00:00,ST6,P188,584,2,0.0,M-Pesa
S174,2024-01-08 06:00:00,ST28,P671,155,8,0.15,Cash
S175,2024-01-08 07:00:00,ST28,P243,180,6,0.05,Cash
S176,2024-01-08 08:00:00,ST44,P73,406,4,0.1,Card
S177,2024-01-08 09:00:00,ST44,P479,734,4,0.0,Cash
S178,2024-01-08 10:00:00,ST20,P974,825,7,0.05,Cash
S179,2024-01-08 11:00:00,ST30,P561,903,3,0.1,M-Pesa
S180,2024-01-08 12:00:00,ST11,P101,934,3,0.15,Card
S181,2024-01-08 13:00:00,ST28,P514,846,6,0.15,Cash
S182,2024-01-08 14:00:00,ST25,P756,51,9,0.0,Bank
S183,2024-01-08 15:00:00,ST39,P176,282,1,0.1,Card
S184,2024-01-08 16:00:00,ST33,P238,418,5,0.05,Card
S185,2024-01-08 17:00:00,ST1,P910,300,1,0.15,Card
S186,2024-01-08 18:00:00,ST27,P59,995,1,0.05,Bank
S187,2024-01-08 19:00:00,ST13,P865,882,3,0.05,Cash
S188,2024-01-08 20:00:00,ST41,P99,157,3,0.05,Bank
S189,2024-01-08 21:00:00,ST3,P954,325,4,0.0,Card
S190,2024-01-08 22:00:00,ST39,P871,229,3,0.05,Card
S191,2024-01-08 23:00:00,ST6,P954,774,6,0.0,M-Pesa
S192,2024-01-09 00:00:00,ST8,P495,342,4,0.0,M-Pesa
S193,2024-01-09 01:00:00,ST27,P947,633,8,0.1,M-Pesa
S194,2024-01-09 02:00:00,ST9,P980,844,1,0.15,M-Pesa
S195,2024-01-09 03:00:00,ST37,P514,224,8,0.05,Card
S196,2024-01-09 04:00:00,ST33,P755,172,1,0.1,Bank
S197,2024-01-09 05:00:00,ST42,P297,276,1,0.1,M-Pesa
S198,2024-01-09 06:00:00,ST44,P211,951,7,0.1,Bank
S199,2024-01-09 07:00:00,ST24,P123,493,1,0.1,M-Pesa
S200,2024-01-09 08:00:00,ST15,P229,862,9,0.1,Cash
S201,2024-01-09 09:00:00,ST32,P594,477,8,0.05,M-Pesa
S202,2024-01-09 10:00:00,ST32,P656,132,1,0.1,Bank
S203,2024-01-09 11:00:00,ST24,P388,814,2,0.15,M-Pesa
S204,2024-01-09 12:00:00,ST41,P140,707,2,0.0,Cash
S205,2024-01-09 13:00:00,ST49,P541,681,2,0.0,Bank
S206,2024-01-09 14:00:00,ST49,P391,114,6,0.15,Bank
S207,2024-01-09 15:00:00,ST12,P270,330,4,0.05,Bank
S208,2024-01-09 16:00:00,ST39,P759,844,8,0.0,Card
S209,2024-01-09 17:00:00,ST2,P12,440,1,0.15,Bank
S210,2024-01-09 18:00:00,ST3,P867,477,4,0.15,Card
S211,2024-01-09 19:00:00,ST49,P389,667,5,0.1,Cash
S212,2024-01-09 20:00:00,ST37,P337,974,9,0.0,Bank
S213,2024-01-09 21:00:00,ST49,P506,861,5,0.1,Bank
S214,2024-01-09 22:00:00,ST17,P106,156,3,0.05,Bank
S215,2024-01-09 23:00:00,ST49,P32,597,4,0.0,Cash
S216,2024-01-10 00:00:00,ST2,P74,708,7,0.0,Card
S217,2024-01-10 01:00:00,ST2,P171,311,1,0.15,M-Pesa
S218,2024-01-10 02:00:00,ST28,P849,970,6,0.0,Cash
S219,2024-01-10 03:00:00,ST23,P69,208,8,0.05,Cash
S220,2024-01-10 04:00:00,ST37,P813,314,1,0.05,Cash
S221,2024-01-10 05:00:00,ST32,P362,517,8,0.0,Card
S222,2024-01-10 06:00:00,ST33,P649,251,7,0.15,Card
S223,2024-01-10 07:00:00,ST1,P433,982,1,0.05,Card
S224,2024-01-10 08:00:00,ST19,P929,204,9,0.1,Card
S225,2024-01-10 09:00:00,ST2,P996,62,3,0.05,Card
S226,2024-01-10 10:00:00,ST44,P100,346,2,0.0,Bank
S227,2024-01-10 11:00:00,ST26,P658,945,7,0.1,M-Pesa
S228,2024-01-10 12:00:00,ST32,P9,883,3,0.0,M-Pesa
S229,2024-01-10 13:00:00,ST6,P574,547,1,0.0,Card
S230,2024-01-10 14:00:00,ST32,P697,646,3,0.0,Card
S231,2024-01-10 15:00:00,ST4,P29,841,6,0.15,Bank
S232,2024-01-10 16:00:00,ST11,P893,294,3,0.15,Card
S233,2024-01-10 17:00:00,ST17,P114,349,5,0.05,Bank
S234,2024-01-10 18:00:00,ST38,P462,411,9,0.0,Bank
S235,2024-01-10 19:00:00,ST24,P921,403,7,0.1,Cash
S236,2024-01-10 20:00:00,ST5,P143,877,2,0.1,Cash
S237,2024-01-10 21:00:00,ST34,P390,570,1,0.1,Card
S238,2024-01-10 22:00:00,ST6,P632,435,7,0.15,Bank
S239,2024-01-10 23:00:00,ST22,P682,808,4,0.15,Card
S240,2024-01-11 00:00:00,ST11,P157,361,7,0.0,Cash
S241,2024-01-11 01:00:00,ST48,P335,463,6,0.1,Cash
S242,2024-01-11 02:00:00,ST16,P861,327,7,0.1,Cash
S243,2024-01-11 03:00:00,ST33,P260,799,4,0.15,Cash
S244,2024-01-11 04:00:00,ST9,P82,764,3,0.15,Cash
S245,2024-01-11 05:00:00,ST6,P754,808,5,0.1,Card
S246,2024-01-11 06:00:00,ST16,P441,796,3,0.1,Card
S247,2024-01-11 07:00:00,ST29,P945,642,3,0.05,Cash
S248,2024-01-11 08:00:00,ST3,P172,405,4,0.15,Card
S249,2024-01-11 09:00:00,ST20,P231,574,8,0.0,Cash
S250,2024-01-11 10:00:00,ST36,P720,888,2,0.0,Cash
S251,2024-01-11 11:00:00,ST19,P75,65,4,0.1,Cash
S252,2024-01-11 12:00:00,ST26,P270,94,3,0.15,Card
S253,2024-01-11 13:00:00,ST3,P899,370,7,0.0,Card
S254,2024-01-11 14:00:00,ST19,P626,700,2,0.15,Bank
S255,2024-01-11 15:00:00,ST20,P62,375,1,0.1,Card
S256,2024-01-11 16:00:00,ST32,P874,197,1,0.1,Card
S257,2024-01-11 17:00:00,ST7,P320,404,6,0.1,M-Pesa
S258,2024-01-11 18:00:00,ST41,P102,285,3,0.15,Cash
S259,2024-01-11 19:00:00,ST33,P429,752,7,0.0,Cash
S260,2024-01-11 20:00:00,ST40,P874,662,8,0.05,Card
S261,2024-01-11 21:00:00,ST39,P722,154,5,0.0,Card
S262,2024-01-11 22:00:00,ST18,P954,523,5,0.15,Bank
S263,2024-01-11 23:00:00,ST40,P255,811,2,0.0,M-Pesa
S264,2024-01-12 00:00:00,ST1,P532,445,8,0.05,Cash
S265,2024-01-12 01:00:00,ST11,P570,495,1,0.0,Cash
S266,2024-01-12 02:00:00,ST28,P112,655,9,0.05,Card
S267,2024-01-12 03:00:00,ST25,P985,269,1,0.15,Card
S268,2024-01-12 04:00:00,ST50,P313,859,1,0.1,M-Pesa
S269,2024-01-12 05:00:00,ST23,P998,900,1,0.05,Cash
S270,2024-01-12 06:00:00,ST31,P461,491,7,0.15,M-Pesa
S271,2024-01-12 07:00:00,ST30,P708,694,4,0.1,Cash
S272,2024-01-12 08:00:00,ST42,P887,922,7,0.05,Card
S273,2024-01-12 09:00:00,ST35,P462,716,5,0.1,M-Pesa
S274,2024-01-12 10:00:00,ST7,P865,77,7,0.0,Bank
S275,2024-01-12 11:00:00,ST16,P92,843,7,0.15,Card
S276,2024-01-12 12:00:00,ST26,P52,524,4,0.15,Bank
S277,2024-01-12 13:00:00,ST48,P805,677,2,0.15,Bank
S278,2024-01-12 14:00:00,ST49,P520,354,8,0.15,Bank
S279,2024-01-12 15:00:00,ST2,P812,795,2,0.05,Cash
S280,2024-01-12 16:00:00,ST1,P98,454,9,0.0,Bank
S281,2024-01-12 17:00:00,ST48,P236,562,5,0.1,Cash
S282,2024-01-12 18:00:00,ST12,P901,551,9,0.15,M-Pesa
S283,2024-01-12 19:00:00,ST5,P374,397,9,0.15,Card
S284,2024-01-12 20:00:00,ST37,P581,289,8,0.05,Cash
S285,2024-01-12 21:00:00,ST32,P927,619,8,0.05,Cash
S286,2024-01-12 22:00:00,ST9,P557,896,4,0.05,M-Pesa
S287,2024-01-12 23:00:00,ST41,P649,744,4,0.0,M-Pesa
S288,2024-01-13 00:00:00,ST35,P234,386,2,0.1,Card
S289,2024-01-13 01:00:00,ST19,P32,75,4,0.0,M-Pesa
S290,2024-01-13 02:00:00,ST48,P289,458,4,0.15,Cash
S291,2024-01-13 03:00:00,ST16,P638,126,6,0.05,Card
S292,2024-01-13 04:00:00,ST3,P579,978,3,0.15,Card
S293,2024-01-13 05:00:00,ST20,P542,266,2,0.1,Card
S294,2024-01-13 06:00:00,ST24,P114,377,8,0.1,Bank
S295,2024-01-13 07:00:00,ST33,P204,886,2,0.0,Bank
S296,2024-01-13 08:00:00,ST24,P29,823,8,0.0,Cash
S297,2024-01-13 09:00:00,ST11,P643,72,7,0.05,Bank
S298,2024-01-13 10:00:00,ST49,P474,805,3,0.05,M-Pesa
S299,2024-01-13 11:00:00,ST8,P697,719,6,0.15,Card
S300,2024-01-13 12:00:00,ST36,P253,767,6,0.05,Cash
S301,2024-01-13 13:00:00,ST38,P798,359,5,0.05,M-Pesa
S302,2024-01-13 14:00:00,ST40,P905,648,8,0.15,Card
S303,2024-01-13 15:00:00,ST20,P922,316,5,0.1,M-Pesa
S304,2024-01-13 16:00:00,ST35,P386,464,7,0.05,Bank
S305,2024-01-13 17:00:00,ST48,P62,695,6,0.05,M-Pesa
S306,2024-01-13 18:00:00,ST25,P515,316,7,0.15,Bank
S307,2024-01-13 19:00:00,ST35,P430,382,9,0.15,M-Pesa
S308,2024-01-13 20:00:00,ST25,P580,829,3,0.15,Cash
S309,2024-01-13 21:00:00,ST29,P537,499,7,0.15,Bank
S310,2024-01-13 22:00:00,ST18,P691,614,3,0.15,Bank
S311,2024-01-13 23:00:00,ST46,P141,660,2,0.05,Card
S312,2024-01-14 00:00:00,ST18,P743,296,7,0.0,Bank
S313,2024-01-14 01:00:00,ST2,P300,85,4,0.0,Card
S314,2024-01-14 02:00:00,ST35,P675,450,1,0.0,Bank
S315,2024-01-14 03:00:00,ST16,P311,77,6,0.05,Bank
S316,2024-01-14 04:00:00,ST41,P471,269,6,0.1,Bank
S317,2024-01-14 05:00:00,ST36,P393,455,6,0.05,Bank
S318,2024-01-14 06:00:00,ST33,P642,663,2,0.0,Card
S319,2024-01-14 07:00:00,ST4,P445,824,1,0.0,Cash
S320,2024-01-14 08:00:00,ST33,P758,320,3,0.15,M-Pesa
S321,2024-01-14 09:00:00,ST14,P809,785,2,0.15,Bank
S322,2024-01-14 10:00:00,ST21,P172,700,6,0.15,Bank
S323,2024-01-14 11:00:00,ST48,P576,841,6,0.05,Cash
S324,2024-01-14 12:00:00,ST20,P31,560,5,0.1,Card
S325,2024-01-14 13:00:00,ST8,P47,335,5,0.1,M-Pesa
S326,2024-01-14 14:00:00,ST7,P130,503,9,0.15,Cash
S327,2024-01-14 15:00:00,ST3,P352,811,5,0.1,Cash
S328,2024-01-14 16:00:00,ST17,P978,883,6,0.0,Cash
S329,2024-01-14 17:00:00,ST33,P845,366,4,0.0,Cash
S330,2024-01-14 18:00:00,ST48,P622,639,1,0.15,Bank
S331,2024-01-14 19:00:00,ST12,P581,346,4,0.15,M-Pesa
S332,2024-01-14 20:00:00,ST22,P58,387,2,0.15,Bank
S333,2024-01-14 21:00:00,ST22,P106,356,3,0.1,Cash
S334,2024-01-14 22:00:00,ST46,P812,477,7,0.05,M-Pesa
S335,2024-01-14 23:00:00,ST30,P330,400,7,0.15,Cash
S336,2024-01-15 00:00:00,ST38,P768,560,1,0.1,Card
S337,2024-01-15 01:00:00,ST38,P824,574,8,0.15,Cash
S338,2024-01-15 02:00:00,ST45,P683,907,7,0.05,Cash
S339,2024-01-15 03:00:00,ST8,P383,541,1,0.15,Card
S340,2024-01-15 04:00:00,ST27,P985,957,8,0.0,Bank
S341,2024-01-15 05:00:00,ST27,P162,643,2,0.15,M-Pesa
S342,2024-01-15 06:00:00,ST34,P997,58,8,0.0,Cash
S343,2024-01-15 07:00:00,ST21,P286,546,3,0.0,Cash
S344,2024-01-15 08:00:00,ST30,P71,774,7,0.1,Card
S345,2024-01-15 09:00:00,ST33,P767,609,6,0.1,M-Pesa
S346,2024-01-15 10:00:00,ST28,P454,610,5,0.0,Card
S347,2024-01-15 11:00:00,ST47,P886,870,2,0.0,Cash
S348,2024-01-15 12:00:00,ST33,P567,489,2,0.15,Bank
S349,2024-01-15 13:00:00,ST5,P835,601,1,0.15,Bank
S350,2024-01-15 14:00:00,ST48,P397,924,9,0.0,M-Pesa
S351,2024-01-15 15:00:00,ST19,P515,841,8,0.1,Cash
S352,2024-01-15 16:00:00,ST4,P26,787,8,0.15,Card
S353,2024-01-15 17:00:00,ST35,P313,157,1,0.15,Cash
S354,2024-01-15 18:00:00,ST49,P126,294,5,0.15,Card
S355,2024-01-15 19:00:00,ST17,P408,304,6,0.1,Card
S356,2024-01-15 20:00:00,ST44,P565,82,2,0.0,M-Pesa
S357,2024-01-15 21:00:00,ST28,P198,72,5,0.15,Card
S358,2024-01-15 22:00:00,ST30,P811,894,6,0.1,M-Pesa
S359,2024-01-15 23:00:00,ST29,P188,615,9,0.1,Bank
S360,2024-01-16 00:00:00,ST46,P698,870,1,0.1,M-Pesa
S361,2024-01-16 01:00:00,ST6,P817,98,3,0.1,M-Pesa
S362,2024-01-16 02:00:00,ST35,P810,511,9,0.15,M-Pesa
S363,2024-01-16 03:00:00,ST41,P716,639,1,0.0,Bank
S364,2024-01-16 04:00:00,ST37,P484,385,1,0.0,M-Pesa
S365,2024-01-16 05:00:00,ST24,P450,994,1,0.1,Card
S366,2024-01-16 06:00:00,ST29,P523,407,7,0.0,Card
S367,2024-01-16 07:00:00,ST49,P871,171,5,0.15,M-Pesa
S368,2024-01-16 08:00:00,ST46,P354,493,6,0.0,Card
S369,2024-01-16 09:00:00,ST31,P986,408,8,0.0,M-Pesa
S370,2024-01-16 10:00:00,ST35,P658,651,2,0.05,Bank
S371,2024-01-16 11:00:00,ST33,P597,395,2,0.0,Card
S372,2024-01-16 12:00:00,ST21,P100,242,3,0.0,M-Pesa
S373,2024-01-16 13:00:00,ST32,P616,465,3,0.1,Cash
S374,2024-01-16 14:00:00,ST23,P948,426,3,0.1,Bank
S375,2024-01-16 15:00:00,ST33,P558,512,4,0.05,Cash
S376,2024-01-16 16:00:00,ST3,P556,805,3,0.15,M-Pesa
S377,2024-01-16 17:00:00,ST18,P278,710,2,0.05,Card
S378,2024-01-16 18:00:00,ST25,P693,195,9,0.0,M-Pesa
S379,2024-01-16 19:00:00,ST42,P699,527,6,0.0,Card
S380,2024-01-16 20:00:00,ST31,P990,877,3,0.15,M-Pesa
S381,2024-01-16 21:00:00,ST3,P626,939,9,0.15,M-Pesa
S382,2024-01-16 22:00:00,ST40,P491,702,4,0.1,Card
S383,2024-01-16 23:00:00,ST46,P255,457,4,0.0,Card
S384,2024-01-17 00:00:00,ST24,P381,335,8,0.0,M-Pesa
S385,2024-01-17 01:00:00,ST50,P892,947,7,0.0,Cash
S386,2024-01-17 02:00:00,ST32,P542,900,7,0.0,Bank
S387,2024-01-17 03:00:00,ST47,P264,160,7,0.0,Cash
S388,2024-01-17 04:00:00,ST22,P610,669,5,0.0,Cash
S389,2024-01-17 05:00:00,ST23,P825,928,7,0.0,Cash
S390,2024-01-17 06:00:00,ST2,P879,842,4,0.0,Cash
S391,2024-01-17 07:00:00,ST27,P329,99,8,0.1,Card
