delivery_id,supplier_id,product_id,qty_ordered,qty_delivered,delivery_date,delay_days
D118,SUP388,P392,469,268,2024-08-16,3
D119,SUP353,P83,219,229,2024-10-11,8
D120,SUP348,P159,496,413,2024-07-21,4
D121,SUP203,P335,320,147,2024-10-15,2
D122,SUP447,P618,425,73,2024-09-15,3
D123,SUP325,P820,256,364,2024-12-13,1
D124,SUP426,P770,140,155,2024-02-28,9
D125,SUP425,P962,196,402,2024-09-16,4
D126,SUP391,P562,307,129,2024-05-25,1
D127,SUP115,P378,185,44,2024-06-03,0
D128,SUP24,P477,471,90,2024-05-25,6
D129,SUP44,P737,316,44,2024-07-12,0
D130,SUP242,P394,455,317,2024-05-13,4
D131,SUP68,P240,89,435,2024-08-27,2
D132,SUP140,P46,358,435,2024-09-06,9
D133,SUP183,P698,364,428,2024-12-20,0
D134,SUP260,P85,198,460,2024-08-08,8
D135,SUP345,P213,152,267,2024-09-23,2
D136,SUP259,P235,68,159,2024-07-11,5
D137,SUP465,P269,191,254,2024-07-05,-1
D138,SUP410,P435,433,144,2024-11-05,2
D139,SUP59,P336,293,311,2024-01-21,9
D140,SUP114,P83,441,103,2024-08-14,-2
D141,SUP265,P984,55,485,2024-04-30,4
D142,SUP174,P186,95,276,2024-09-20,5
D143,SUP269,P62,209,160,2024-03-07,5
D144,SUP133,P279,392,343,2024-05-22,4
D145,SUP111,P772,374,54,2024-04-26,6
D146,SUP379,P671,472,379,2024-03-21,-2
D147,SUP53,P392,357,250,2024-09-01,2
D148,SUP124,P746,107,79,2024-12-13,-2
D149,SUP61,P921,432,2,2024-07-07,7
D150,SUP389,P822,117,86,2024-11-02,4
D151,SUP332,P215,366,438,2024-07-24,8
D152,SUP476,P395,243,145,2024-09-04,-1
D153,SUP458,P732,255,9,2024-05-24,-1
D154,SUP385,P45,111,31,2024-04-27,5
D155,SUP419,P87,440,235,2024-01-20,5
D156,SUP156,P557,101,332,2024-10-21,-2
D157,SUP307,P125,100,466,2024-07-16,6
D158,SUP450,P956,158,287,2024-03-17,7
D159,SUP279,P960,71,294,2024-06-11,7
D160,SUP69,P245,276,332,2024-12-20,7
D161,SUP161,P555,177,238,2024-12-31,7
D162,SUP479,P125,267,8,2024-06-03,7
D163,SUP335,P752,287,267,2024-10-14,-1
D164,SUP321,P704,413,5,2024-04-07,8
D165,SUP372,P431,346,57,2024-09-15,6
D166,SUP93,P484,447,467,2024-07-17,0
D167,SUP280,P829,187,105,2024-10-16,9
D168,SUP9,P226,71,467,2024-05-28,-2
D169,SUP191,P176,150,427,2024-06-05,0
D170,SUP419,P75,256,439,2024-09-16,7
D171,SUP317,P753,163,135,2024-12-24,7
D172,SUP144,P520,353,185,2024-05-08,6
D173,SUP328,P674,375,200,2024-06-07,-1
D174,SUP328,P8,422,443,2024-12-02,0
D175,SUP23,P505,173,250,2024-11-22,6
D176,SUP446,P52,196,131,2024-02-13,3
D177,SUP495,P81,269,276,2024-10-18,-1
D178,SUP428,P470,396,7,2024-01-21,2
D179,SUP187,P520,475,55,2024-10-05,8
D180,SUP209,P318,212,290,2024-07-23,-2
D181,SUP91,P833,481,148,2024-02-03,7
D182,SUP221,P654,458,489,2024-12-21,2
D183,SUP319,P69,309,25,2024-07-15,6
D184,SUP267,P347,186,49,2024-04-09,8
D185,SUP87,P944,85,383,2024-10-13,-2
D186,SUP196,P87,198,261,2024-09-24,7
D187,SUP337,P652,278,132,2024-08-21,1
D188,SUP331,P832,405,409,2024-10-10,6
D189,SUP8,P124,373,410,2024-09-19,-1
D190,SUP499,P286,289,311,2024-06-10,5
D191,SUP90,P136,221,190,2024-08-01,2
D192,SUP244,P893,104,465,2024-05-01,6
D193,SUP177,P488,439,118,2024-11-02,-2
D194,SUP456,P322,495,443,2024-03-28,9
D195,SUP8,P197,432,420,2024-07-24,4
D196,SUP455,P717,484,20,2024-03-20,9
D197,SUP115,P721,151,52,2024-01-11,9
D198,SUP34,P419,383,180,2024-10-20,1
D199,SUP32,P79,378,207,2024-06-18,7
D200,SUP333,P908,148,32,2024-05-14,1
D201,SUP100,P995,172,103,2024-10-28,9
D202,SUP82,P106,168,385,2024-02-14,0
D203,SUP333,P624,124,219,2024-05-10,9
D204,SUP94,P627,262,173,2024-11-30,5
D205,SUP383,P579,177,54,2024-07-03,4
D206,SUP193,P650,344,436,2024-06-06,-1
D207,SUP249,P386,366,323,2024-09-07,-1
D208,SUP319,P655,60,49,2024-09-11,7
D209,SUP53,P375,259,42,2024-04-06,5
D210,SUP99,P191,420,147,2024-08-16,2
D211,SUP67,P135,67,149,2024-11-03,2
D212,SUP158,P276,107,248,2024-07-27,8
D213,SUP59,P188,200,180,2024-11-05,2
D214,SUP368,P264,205,210,2024-10-30,8
D215,SUP409,P367,288,477,2024-12-05,6
D216,SUP161,P90,388,366,2024-06-09,8
D217,SUP16,P58,492,418,2024-03-31,4
D218,SUP49,P648,76,300,2024-05-27,2
D219,SUP259,P798,237,260,2024-04-07,5
D220,SUP495,P109,248,3,2024-09-17,6
D221,SUP285,P852,155,142,2024-07-28,8
D222,SUP270,P54,488,252,2024-07-29,0
D223,SUP235,P694,228,343,2024-05-07,-2
D224,SUP237,P735,124,96,2024-08-17,0
D225,SUP197,P256,429,457,2024-12-28,6
D226,SUP317,P380,333,354,2024-01-02,6
D227,SUP492,P669,237,228,2024-12-29,8
D228,SUP465,P693,70,243,2024-06-27,0
D229,SUP373,P734,217,95,2024-09-05,9
D230,SUP29,P31,365,463,2024-10-30,9
D231,SUP149,P4,145,76,2024-02-13,-1
D232,SUP390,P413,125,80,2024-11-03,-1
D233,SUP408,P300,215,68,2024-10-04,6
D234,SUP241,P94,316,496,2024-05-21,0
D235,SUP284,P383,275,172,2024-12-25,6
D236,SUP185,P761,147,71,2024-03-17,1
D237,SUP379,P534,304,302,2024-03-16,-1
D238,SUP185,P503,325,89,2024-07-17,6
D239,SUP465,P638,235,267,2024-11-17,0
D240,SUP246,P96,468,421,2024-11-18,-1
D241,SUP106,P908,472,38,2024-10-22,-2
D242,SUP22,P542,205,472,2024-06-12,4
D243,SUP280,P5,157,428,2024-09-05,7
D244,SUP360,P194,341,122,2024-07-23,5
D245,SUP274,P891,68,496,2024-09-08,0
D246,SUP412,P198,483,49,2024-11-09,4
D247,SUP313,P619,181,369,2024-02-08,7
D248,SUP74,P619,256,34,2024-08-09,-2
D249,SUP257,P419,86,316,2024-04-17,6
D250,SUP357,P586,149,388,2024-11-15,7
D251,SUP282,P336,378,332,2024-01-26,3
D252,SUP498,P48,289,172,2024-09-19,0
D253,SUP346,P470,482,293,2024-04-01,3
D254,SUP33,P947,113,413,2024-01-05,-2
D255,SUP125,P590,282,268,2024-08-12,2
D256,SUP183,P488,127,398,2024-08-23,7
D257,SUP329,P656,160,338,2024-09-05,9
D258,SUP18,P48,265,101,2024-02-05,6
D259,SUP120,P935,362,293,2024-04-22,1
D260,SUP197,P129,364,233,2024-04-30,1
D261,SUP342,P381,436,95,2024-09-10,8
D262,SUP266,P528,298,354,2024-03-02,0
D263,SUP398,P532,250,211,2024-08-11,0
D264,SUP332,P416,100,339,2024-02-19,-1
D265,SUP352,P386,489,368,2024-06-29,1
D266,SUP295,P59,72,76,2024-04-29,6
D267,SUP493,P763,227,89,2024-05-11,1
D268,SUP164,P443,363,303,2024-07-25,2
D269,SUP307,P470,74,80,2024-08-24,1
D270,SUP434,P261,131,93,2024-01-21,9
D271,SUP367,P194,335,259,2024-01-20,7
D272,SUP143,P241,378,135,2024-07-30,5
D273,SUP315,P167,181,72,2024-09-05,6
D274,SUP417,P44,188,85,2024-10-07,3
D275,SUP464,P169,87,363,2024-11-15,2
D276,SUP324,P864,428,395,2024-11-12,7
D277,SUP438,P889,326,18,2024-09-06,1
D278,SUP307,P574,96,352,2024-11-04,6
D279,SUP131,P75,437,191,2024-08-10,1
D280,SUP90,P794,469,131,2024-07-14,-1
D281,SUP120,P51,164,385,2024-07-02,6
D282,SUP101,P607,117,191,2024-04-02,6
D283,SUP162,P463,277,123,2024-12-20,3
D284,SUP298,P396,104,382,2024-08-09,-2
D285,SUP265,P758,96,382,2024-10-19,-1
D286,SUP108,P730,397,198,2024-01-05,7
D287,SUP270,P943,341,258,2024-09-30,9
D288,SUP495,P305,303,199,2024-02-02,4
D289,SUP353,P331,455,392,2024-09-25,-2
D290,SUP496,P369,288,115,2024-08-28,3
D291,SUP102,P726,479,20,2024-10-22,6
D292,SUP389,P476,64,212,2024-04-10,3
D293,SUP243,P278,70,183,2024-04-17,8
D294,SUP367,P853,380,95,2024-09-24,4
D295,SUP348,P876,70,379,2024-04-02,1
D296,SUP33,P950,90,448,2024-04-02,8
D297,SUP81,P842,61,85,2024-06-23,7
D298,SUP85,P821,483,106,2024-10-05,9
D299,SUP263,P294,231,193,2024-02-09,-2
D300,SUP296,P537,234,445,2024-09-08,8
D301,SUP163,P253,63,72,2024-04-26,-2
D302,SUP199,P103,180,486,2024-10-13,5
D303,SUP8,P910,197,442,2024-05-30,2
D304,SUP371,P752,343,206,2024-01-16,4
D305,SUP492,P547,168,463,2024-03-12,6
D306,SUP444,P585,431,299,2024-01-09,0
D307,SUP42,P166,148,329,2024-06-30,9
D308,SUP479,P446,457,392,2024-02-16,3
D309,SUP120,P613,74,463,2024-03-23,3
D310,SUP133,P516,243,139,2024-10-19,3
D311,SUP444,P847,444,41,2024-02-09,-2
D312,SUP5,P413,168,115,2024-03-12,8
D313,SUP216,P714,385,468,2024-04-30,7
D314,SUP246,P801,264,29,2024-07-27,6
D315,SUP470,P135,366,364,2024-11-20,6
D316,SUP428,P757,158,154,2024-11-23,5
D317,SUP126,P593,129,313,2024-05-10,6
D318,SUP205,P772,100,76,2024-07-13,0
D319,SUP214,P458,147,182,2024-08-10,2
D320,SUP90,P193,200,475,2024-12-12,6
D321,SUP65,P362,53,370,2024-08-07,9
D322,SUP337,P340,92,364,2024-02-07,7
D323,SUP83,P455,461,311,2024-04-09,1
D324,SUP386,P777,411,150,2024-06-03,5
D325,SUP313,P544,486,282,2024-09-28,4
D326,SUP178,P284,312,213,2024-05-22,0
D327,SUP180,P220,394,247,2024-03-12,-2
D328,SUP139,P62,406,497,2024-06-25,-2
D329,SUP30,P2,240,180,2024-07-15,7
D330,SUP174,P636,289,396,2024-03-10,1
D331,SUP215,P900,376,168,2024-07-01,4
D332,SUP378,P253,98,94,2024-05-12,9
D333,SUP399,P593,70,471,2024-10-07,9
D334,SUP60,P326,156,400,2024-02-09,9
D335,SUP343,P520,473,105,2024-05-14,-1
D336,SUP396,P942,403,462,2024-06-07,3
D337,SUP91,P140,153,167,2024-01-03,3
D338,SUP6,P639,353,241,2024-06-28,3
D339,SUP222,P915,313,493,2024-07-28,0
D340,SUP5,P891,179,317,2024-03-04,4
D341,SUP430,P221,489,15,2024-11-16,9
D342,SUP166,P736,70,262,2024-04-24,-1
D343,SUP419,P156,197,304,2024-02-28,-1
D344,SUP439,P645,126,188,2024-09-11,-2
D345,SUP64,P171,253,205,2024-10-22,8
D346,SUP134,P369,116,482,2024-10-15,3
D347,SUP14,P12,436,342,2024-08-03,8
D348,SUP52,P837,489,393,2024-08-26,5
D349,SUP178,P801,364,448,2024-02-04,8
D350,SUP273,P949,115,202,2024-03-11,1
D351,SUP393,P31,159,40,2024-12-18,1
D352,SUP168,P665,447,3,2024-07-14,4
D353,SUP479,P391,238,292,2024-02-04,5
D354,SUP36,P999,461,402,2024-06-10,9
D355,SUP74,P921,377,376,2024-03-14,-1
D356,SUP347,P157,298,298,2024-08-16,2
D357,SUP49,P203,79,37,2024-05-27,0
D358,SUP436,P277,188,123,2024-02-13,5
D359,SUP197,P56,128,342,2024-07-27,-2
D360,SUP209,P535,450,23,2024-07-23,4
D361,SUP31,P774,297,491,2024-12-15,8
D362,SUP185,P742,416,460,2024-10-04,3
D363,SUP78,P727,472,496,2024-09-23,-1
D364,SUP471,P74,335,479,2024-01-13,3
D365,SUP108,P636,431,448,2024-01-23,5
D366,SUP349,P931,417,341,2024-03-14,9
D367,SUP103,P389,65,101,2024-10-10,-2
D368,SUP207,P252,67,48,2024-06-23,5
D369,SUP431,P318,271,375,2024-01-22,7
D370,SUP76,P594,178,95,2024-06-25,-2
D371,SUP97,P853,96,361,2024-03-24,6
D372,SUP444,P847,216,358,2024-12-03,-2
D373,SUP249,P716,94,175,2024-08-10,5
D374,SUP378,P552,306,102,2024-06-23,5
D375,SUP232,P253,85,396,2024-11-17,7
D376,SUP94,P638,468,99,2024-09-08,6
D377,SUP278,P199,496,174,2024-06-21,7
D378,SUP286,P476,266,20,2024-06-07,9
D379,SUP416,P995,413,375,2024-02-19,7
D380,SUP468,P637,226,207,2024-09-25,1
D381,SUP166,P647,196,121,2024-02-07,0
D382,SUP251,P402,274,136,2024-08-14,1
D383,SUP212,P816,109,451,2024-10-07,5
D384,SUP130,P724,55,344,2024-09-12,1
D385,SUP377,P474,215,335,2024-10-11,6
D386,SUP223,P98,330,329,2024-05-05,0
D387,SUP64,P231,463,457,2024-10-17,2
D388,SUP178,P229,76,94,2024-06-04,5
D389,SUP183,P718,237,408,2024-03-23,5
D390,SUP412,P335,288,328,2024-10-01,-2
D391,SUP3,P80,105,498,2024-09-19,4
D392,SUP443,P505,387,283,2024-03-23,9
D393,SUP148,P279,316,371,2024-03-12,2
D394,SUP99,P866,74,364,2024-09-26,9
D395,SUP446,P468,327,333,2024-12-20,1
D396,SUP447,P787,206,260,2024-05-15,-2
D397,SUP19,P138,138,229,2024-05-07,1
D398,SUP390,P178,136,457,2024-03-06,0
D399,SUP459,P802,233,37,2024-07-10,-2
D400,SUP301,P104,400,283,2024-10-06,6
D401,SUP70,P230,479,457,2024-09-27,4
D402,SUP466,P435,265,160,2024-08-16,4
D403,SUP495,P840,330,303,2024-01-03,-1
D404,SUP446,P307,55,467,2024-12-27,8
D405,SUP78,P981,350,191,2024-08-29,4
D406,SUP14,P449,139,350,2024-09-23,1
D407,SUP193,P813,328,262,2024-03-11,1
D408,SUP438,P625,387,90,2024-10-21,6
D409,SUP381,P682,296,135,2024-01-05,1
D410,SUP337,P636,82,397,2024-05-29,0
D411,SUP188,P338,124,263,2024-12-17,2
D412,SUP246,P827,235,373,2024-02-07,3
D413,SUP334,P631,309,258,2024-09-06,5
D414,SUP31,P561,155,3,2024-12-11,1
D415,SUP45,P407,335,147,2024-12-12,6
D416,SUP202,P511,77,446,2024-02-20,0
D417,SUP230,P912,436,460,2024-05-11,2
D418,SUP225,P303,96,453,2024-07-04,8
D419,SUP325,P170,325,131,2024-11-16,0
D420,SUP80,P921,141,20,2024-04-03,3
D421,SUP20,P581,406,341,2024-04-16,0
D422,SUP432,P587,481,426,2024-03-03,4
D423,SUP406,P299,123,50,2024-12-24,9
D424,SUP424,P878,417,82,2024-12-11,8
D425,SUP465,P646,224,470,2024-01-31,9
D426,SUP178,P495,325,272,2024-07-26,0
D427,SUP434,P142,277,387,2024-07-14,2
D428,SUP265,P26,489,31,2024-01-13,4
D429,SUP102,P731,318,370,2024-06-03,5
D430,SUP490,P759,387,28,2024-11-08,6
D431,SUP201,P654,393,350,2024-05-21,9
D432,SUP335,P380,335,340,2024-02-21,3
D433,SUP180,P312,193,177,2024-03-20,3
D434,SUP302,P363,493,201,2024-08-09,-2
D435,SUP78,P157,444,168,2024-05-07,3
D436,SUP457,P978,430,292,2024-06-15,2
D437,SUP137,P210,152,301,2024-12-12,6
D438,SUP417,P206,77,9,2024-01-07,8
D439,SUP57,P128,499,227,2024-02-26,1
D440,SUP245,P697,384,475,2024-02-24,1
D441,SUP255,P246,338,467,2024-05-14,8
D442,SUP159,P839,76,150,2024-04-26,-1
D443,SUP458,P860,455,383,2024-10-29,8
D444,SUP458,P261,79,3,2024-12-19,4
D445,SUP251,P49,133,185,2024-07-09,8
D446,SUP295,P104,393,183,2024-08-08,3
D447,SUP453,P573,100,126,2024-04-12,4
D448,SUP210,P177,418,304,2024-04-05,6
D449,SUP181,P975,299,281,2024-02-02,-1
D450,SUP353,P305,178,107,2024-05-28,7
D451,SUP369,P98,87,298,2024-05-03,5
D452,SUP338,P69,152,469,2024-06-05,8
D453,SUP116,P628,479,45,2024-01-16,5
D454,SUP442,P68,393,411,2024-04-10,6
D455,SUP332,P145,369,136,2024-03-11,3
D456,SUP473,P129,114,84,2024-02-01,-1
D457,SUP320,P61,449,132,2024-06-19,2
D458,SUP374,P266,310,147,2024-05-17,-1
D459,SUP27,P930,438,168,2024-09-27,1
D460,SUP105,P637,327,465,2024-05-20,9
D461,SUP245,P701,106,479,2024-04-26,2
D462,SUP265,P434,164,318,2024-11-09,5
D463,SUP177,P545,466,216,2024-03-26,7
D464,SUP192,P426,384,309,2024-12-24,6
D465,SUP205,P603,196,43,2024-01-23,8
D466,SUP63,P216,112,377,2024-02-22,8
D467,SUP113,P499,283,252,2024-10-16,2
D468,SUP406,P184,224,423,2024-02-14,8
D469,SUP2,P629,268,387,2024-06-29,3
D470,SUP167,P363,68,332,2024-12-23,9
D471,SUP441,P92,424,323,2024-07-22,-2
D472,SUP368,P723,90,153,2024-11-30,-2
D473,SUP207,P182,249,384,2024-03-16,-2
D474,SUP151,P194,396,205,2024-04-08,-1
D475,SUP318,P443,342,309,2024-08-23,5
D476,SUP269,P897,414,380,2024-09-22,2
D477,SUP377,P173,188,79,2024-10-15,8
D478,SUP109,P793,169,289,2024-02-26,7
D479,SUP303,P259,351,4,2024-06-18,0
D480,SUP148,P455,370,350,2024-02-21,2
D481,SUP13,P89,99,114,2024-05-06,8
D482,SUP183,P591,301,497,2024-03-03,5
D483,SUP155,P628,420,105,2024-04-17,4
D484,SUP106,P569,53,336,2024-05-22,7
D485,SUP465,P580,498,216,2024-05-15,-1
D486,SUP415,P130,489,27,2024-06-14,7
D487,SUP346,P6,376,144,2024-08-27,6
D488,SUP22,P121,91,487,2024-01-28,9
D489,SUP489,P739,378,277,2024-11-23,7
D490,SUP32,P290,302,339,2024-12-09,1
D491,SUP320,P853,312,45,2024-09-14,3
D492,SUP22,P125,216,424,2024-05-10,-1
D493,SUP190,P375,260,464,2024-10-07,8
D494,SUP476,P571,369,173,2024-07-27,2
D495,SUP490,P22,472,387,2024-09-11,3
D496,SUP47,P436,301,394,2024-01-19,-1
D497,SUP1,P873,321,57,2024-04-02,-2
D498,SUP452,P221,234,294,2024-07-08,7
D499,SUP464,P241,305,141,2024-06-28,8
D500,SUP171,P526,168,287,2024-09-09,8
D501,SUP343,P938,67,243,2024-08-16,0
D502,SUP38,P497,120,122,2024-08-15,8
D503,SUP425,P839,431,365,2024-01-30,-1
D504,SUP496,P709,235,208,2024-05-18,9
D505,SUP484,P143,458,366,2024-09-21,3
D506,SUP398,P52,336,499,2024-04-26,8
D507,SUP235,P752,392,410,2024-04-10,0
D508,SUP363,P718,290,250,2024-04-07,-1
D509,SUP3,P485,392,301,2024-05-27,4
D510,SUP321,P803,210,469,2024-09-16,-2
D511,SUP300,P829,285,103,2024-03-09,6
D512,SUP272,P881,211,129,2024-06-29,-2
D513,SUP136,P377,442,62,2024-07-23,2
D514,SUP449,P348,324,104,2024-11-19,4
D515,SUP85,P101,274,461,2024-05-17,7
D516,SUP318,P346,209,44,2024-08-24,2
D517,SUP258,P966,61,421,2024-04-17,0
D518,SUP76,P944,255,130,2024-11-17,-1
D519,SUP206,P303,382,355,2024-09-11,-1
D520,SUP86,P200,304,38,2024-05-17,6
D521,SUP312,P970,123,325,2024-02-16,8
D522,SUP212,P302,423,470,2024-03-06,3
D523,SUP401,P534,274,440,2024-07-26,1
D524,SUP189,P714,424,276,2024-08-08,7
D525,SUP263,P83,461,324,2024-05-15,7
D526,SUP341,P288,390,444,2024-01-12,4
D527,SUP290,P398,198,381,2024-05-09,-1
D528,SUP316,P24,270,202,2024-11-22,1
D529,SUP22,P274,474,281,2024-12-17,-2
D530,SUP406,P503,337,486,2024-12-05,8
D531,SUP405,P886,320,374,2024-09-06,1
D532,SUP384,P795,417,300,2024-05-30,4
D533,SUP13,P786,391,356,2024-03-19,7
D534,SUP237,P382,477,239,2024-02-02,6
D535,SUP198,P324,469,14,2024-08-09,8
D536,SUP473,P413,384,103,2024-05-23,2
D537,SUP127,P671,449,341,2024-04-17,3
D538,SUP44,P131,446,323,2024-07-01,4
D539,SUP415,P81,487,44,2024-06-23,6
D540,SUP281,P195,420,408,2024-04-23,8
D541,SUP352,P839,349,113,2024-05-21,7
D542,SUP55,P927,59,206,2024-06-11,8
D543,SUP29,P509,180,289,2024-04-29,7
D544,SUP240,P219,222,132,2024-01-14,5
D545,SUP291,P638,285,130,2024-09-13,6
D546,SUP332,P486,241,82,2024-02-20,2
D547,SUP80,P899,459,310,2024-03-16,6
D548,SUP329,P461,258,60,2024-02-17,5
D549,SUP205,P786,182,260,2024-07-04,-1
D550,SUP76,P126,103,101,2024-06-17,9
D551,SUP346,P86,158,210,2024-09-01,-2
D552,SUP399,P173,159,71,2024-07-19,1
D553,SUP324,P652,129,340,2024-07-03,9
D554,SUP305,P39,106,199,2024-06-02,-1
D555,SUP202,P946,372,323,2024-05-22,0
D556,SUP432,P702,376,403,2024-09-11,4
D557,SUP44,P695,134,250,2024-08-23,7
D558,SUP38,P787,481,375,2024-04-29,2
D559,SUP112,P430,138,163,2024-03-20,0
D560,SUP268,P94,470,325,2024-05-24,-1
D561,SUP316,P630,316,253,2024-04-13,6
D562,SUP214,P565,120,183,2024-04-18,4
D563,SUP422,P364,199,82,2024-09-22,6
D564,SUP192,P892,381,5,2024-04-20,1
D565,SUP350,P991,59,310,2024-01-10,0
D566,SUP15,P977,159,343,2024-02-04,7
D567,SUP292,P220,132,60,2024-12-26,0
D568,SUP69,P745,155,132,2024-05-17,0
D569,SUP241,P68,257,156,2024-07-17,-2
D570,SUP452,P261,232,67,2024-12-19,7
D571,SUP90,P675,369,473,2024-11-20,5
D572,SUP171,P647,373,185,2024-02-17,4
D573,SUP275,P400,183,109,2024-10-02,1
D574,SUP78,P90,55,313,2024-11-19,-1
D575,SUP347,P148,484,179,2024-02-15,4
D576,SUP120,P132,67,146,2024-04-07,5
