product_id,store_id,date,opening_stock,stock_received,stock_sold,closing_stock
P629,ST39,2024-08-27,341,53,110,284
P896,ST13,2024-04-14,162,126,285,3
P409,ST39,2024-02-27,7,120,87,40
P911,ST16,2024-09-18,55,234,213,76
P905,ST3,2024-06-18,187,55,259,-17
P141,ST26,2024-09-29,182,86,4,264
P815,ST5,2024-01-23,262,130,136,256
P428,ST3,2024-10-22,64,254,118,200
P746,ST28,2024-07-31,280,60,50,290
P131,ST47,2024-06-20,498,228,52,674
P378,ST43,2024-06-07,23,258,97,184
P970,ST30,2024-03-16,113,156,199,70
P914,ST23,2024-08-08,96,286,237,145
P509,ST18,2024-08-21,458,198,176,480
P394,ST5,2024-04-07,95,54,260,-111
P164,ST22,2024-10-02,348,91,31,408
P892,ST45,2024-06-23,64,227,132,159
P988,ST1,2024-09-22,302,109,197,214
P185,ST27,2024-07-11,135,280,152,263
P259,ST14,2024-11-03,172,49,77,144
P916,ST41,2024-11-14,412,37,111,338
P402,ST9,2024-06-05,30,84,72,42
P433,ST4,2024-05-05,312,179,27,464
P677,ST25,2024-03-26,482,197,87,592
P532,ST31,2024-02-19,134,75,190,19
P330,ST32,2024-03-05,158,172,35,295
P994,ST2,2024-02-13,108,224,230,102
P448,ST48,2024-09-20,241,99,240,100
P790,ST37,2024-09-05,187,111,66,232
P661,ST50,2024-09-21,183,18,20,181
P225,ST2,2024-01-23,159,255,294,120
P336,ST14,2024-09-08,93,132,41,184
P490,ST15,2024-07-30,316,236,163,389
P419,ST25,2024-01-16,188,121,16,293
P612,ST10,2024-09-03,75,92,53,114
P897,ST28,2024-08-25,354,29,104,279
P380,ST48,2024-07-08,447,75,152,370
P396,ST8,2024-08-02,265,260,18,507
P13,ST14,2024-03-05,409,293,54,648
P763,ST20,2024-06-28,68,138,235,-29
P8,ST42,2024-04-22,86,284,178,192
P883,ST13,2024-05-30,328,269,294,303
P159,ST19,2024-02-07,96,217,158,155
P773,ST34,2024-09-20,253,73,199,127
P128,ST26,2024-10-14,292,248,162,378
P684,ST37,2024-02-09,413,107,123,397
P819,ST46,2024-07-12,352,232,282,302
P356,ST24,2024-09-25,1,232,154,79
P153,ST21,2024-05-02,297,265,252,310
P941,ST24,2024-01-27,195,38,268,-35
P525,ST8,2024-06-22,473,59,278,254
P931,ST33,2024-03-11,349,95,64,380
P544,ST5,2024-01-03,418,225,113,530
P968,ST25,2024-12-06,137,96,219,14
P406,ST43,2024-11-12,30,210,245,-5
P134,ST40,2024-03-12,206,277,78,405
P49,ST17,2024-05-24,468,221,68,621
P779,ST25,2024-10-11,5,274,230,49
P583,ST42,2024-03-12,64,21,198,-113
P655,ST46,2024-06-27,248,126,226,148
P68,ST33,2024-02-12,201,161,149,213
P168,ST5,2024-07-18,385,25,244,166
P505,ST15,2024-09-20,392,3,0,395
P930,ST42,2024-08-21,80,175,142,113
P760,ST15,2024-12-27,335,44,93,286
P875,ST1,2024-05-03,449,267,66,650
P104,ST43,2024-11-06,335,91,4,422
P726,ST18,2024-06-21,354,292,195,451
P158,ST6,2024-08-01,58,155,183,30
P787,ST34,2024-11-18,376,220,280,316
P101,ST2,2024-11-08,219,129,61,287
P114,ST17,2024-02-18,242,110,141,211
P446,ST5,2024-09-01,140,227,88,279
P318,ST20,2024-02-23,261,233,26,468
P678,ST14,2024-07-10,408,200,220,388
P542,ST12,2024-04-11,446,36,51,431
P32,ST4,2024-01-24,186,53,255,-16
P339,ST41,2024-03-02,230,280,232,278
P116,ST50,2024-10-15,89,104,0,193
P409,ST10,2024-04-08,363,189,191,361
P506,ST39,2024-10-22,429,152,276,305
P613,ST30,2024-06-05,245,179,103,321
P877,ST37,2024-01-08,398,240,100,538
P599,ST47,2024-09-28,321,190,225,286
P524,ST26,2024-11-15,341,55,17,379
P265,ST45,2024-09-11,41,113,14,140
P381,ST46,2024-05-18,475,25,173,327
P933,ST4,2024-06-05,144,109,32,221
P273,ST6,2024-10-31,382,152,243,291
P498,ST15,2024-04-18,22,276,266,32
P931,ST45,2024-03-28,142,161,220,83
P499,ST45,2024-07-12,421,101,28,494
P369,ST18,2024-01-05,55,24,7,72
P873,ST17,2024-08-03,417,192,29,580
P990,ST33,2024-02-13,221,287,73,435
P377,ST36,2024-08-26,64,255,261,58
P60,ST43,2024-05-14,360,162,62,460
P772,ST25,2024-03-10,335,271,128,478
P425,ST28,2024-11-20,216,31,8,239
P452,ST13,2024-03-19,111,238,179,170
P984,ST32,2024-04-08,493,9,271,231
P899,ST48,2024-02-23,249,78,2,325
P137,ST19,2024-07-19,86,275,1,360
P779,ST31,2024-10-05,480,89,93,476
P992,ST15,2024-07-04,289,239,248,280
P235,ST44,2024-05-24,456,60,145,371
P500,ST23,2024-04-26,399,4,58,345
P255,ST40,2024-03-27,356,159,2,513
P829,ST27,2024-10-28,433,95,5,523
P488,ST1,2024-04-12,111,277,114,274
P349,ST22,2024-10-29,452,11,109,354
P738,ST8,2024-11-10,240,234,268,206
P368,ST5,2024-04-12,425,108,14,519
P503,ST24,2024-12-31,445,207,85,567
P98,ST33,2024-03-02,267,15,82,200
P277,ST12,2024-11-05,452,214,241,425
P25,ST4,2024-05-04,86,31,205,-88
P469,ST15,2024-05-20,71,114,86,99
P574,ST9,2024-09-24,490,125,24,591
P596,ST42,2024-01-02,226,227,160,293
P536,ST13,2024-02-11,127,228,192,163
P709,ST10,2024-06-30,79,44,116,7
P425,ST42,2024-01-11,83,23,51,55
P953,ST14,2024-08-27,27,12,14,25
P578,ST1,2024-03-18,413,4,50,367
P762,ST27,2024-07-31,458,80,126,412
P265,ST22,2024-04-18,305,177,59,423
P235,ST22,2024-06-25,400,176,285,291
P648,ST26,2024-02-06,137,288,200,225
P126,ST24,2024-10-18,471,185,88,568
P608,ST30,2024-06-25,350,161,33,478
P826,ST40,2024-02-27,10,30,103,-63
P839,ST17,2024-09-15,174,78,295,-43
P550,ST23,2024-06-09,135,282,10,407
P148,ST10,2024-03-15,30,186,206,10
P507,ST33,2024-07-17,356,26,284,98
P559,ST8,2024-02-06,164,75,221,18
P79,ST5,2024-06-26,160,195,10,345
P999,ST34,2024-02-05,136,253,190,199
P540,ST27,2024-10-09,173,86,203,56
P479,ST31,2024-10-13,386,122,221,287
P956,ST25,2024-11-15,496,190,58,628
P278,ST2,2024-07-16,268,254,90,432
P744,ST20,2024-09-02,243,211,291,163
P113,ST43,2024-11-04,411,220,142,489
P691,ST3,2024-11-05,51,283,200,134
P792,ST41,2024-08-12,188,279,94,373
P226,ST40,2024-11-15,407,253,216,444
P73,ST38,2024-06-30,9,277,59,227
P61,ST46,2024-03-05,169,167,270,66
P514,ST40,2024-04-12,164,202,33,333
P365,ST15,2024-06-18,14,95,189,-80
P89,ST27,2024-04-21,361,215,15,561
P460,ST24,2024-08-23,155,267,288,134
P439,ST35,2024-04-02,164,103,125,142
P4,ST23,2024-03-15,192,148,92,248
P499,ST8,2024-11-07,396,166,31,531
P744,ST22,2024-01-15,314,108,78,344
P58,ST16,2024-10-12,451,57,212,296
P639,ST6,2024-01-23,55,197,27,225
P781,ST39,2024-09-24,487,172,141,518
P733,ST45,2024-04-01,285,127,276,136
P736,ST29,2024-12-16,243,270,215,298
P155,ST26,2024-06-06,63,165,98,130
P542,ST9,2024-05-02,322,63,158,227
P110,ST19,2024-04-12,275,107,21,361
P359,ST7,2024-09-28,245,115,24,336
P890,ST48,2024-06-06,98,243,45,296
P764,ST25,2024-03-08,282,198,41,439
P318,ST24,2024-10-15,367,202,32,537
P193,ST39,2024-12-18,139,77,99,117
P523,ST47,2024-09-08,108,27,69,66
P855,ST37,2024-06-04,242,229,152,319
P433,ST34,2024-07-25,40,289,201,128
P529,ST29,2024-01-26,207,200,47,360
P399,ST34,2024-05-04,223,19,106,136
P667,ST20,2024-01-14,50,106,201,-45
P117,ST5,2024-07-03,352,243,225,370
P906,ST44,2024-05-22,79,222,103,198
P976,ST36,2024-07-12,28,21,64,-15
P229,ST30,2024-01-16,346,204,146,404
P924,ST50,2024-10-19,222,46,5,263
P898,ST20,2024-09-07,50,24,137,-63
P999,ST11,2024-09-23,314,149,119,344
P291,ST21,2024-09-23,87,101,170,18
P399,ST20,2024-06-09,383,179,54,508
P187,ST6,2024-09-14,158,118,118,158
P459,ST45,2024-02-02,136,147,245,38
P161,ST26,2024-03-03,108,207,231,84
P55,ST23,2024-12-05,483,19,136,366
P720,ST5,2024-10-15,453,104,178,379
P843,ST25,2024-10-08,285,105,183,207
P980,ST29,2024-10-16,89,172,208,53
P564,ST4,2024-03-18,295,36,232,99
P19,ST27,2024-12-14,6,142,139,9
P423,ST10,2024-08-29,455,136,45,546
P754,ST34,2024-11-22,442,100,271,271
P471,ST27,2024-07-21,138,171,77,232
P700,ST8,2024-08-18,2,142,46,98
P10,ST35,2024-04-03,387,43,56,374
P456,ST28,2024-06-25,252,119,62,309
P322,ST9,2024-10-29,224,117,285,56
P440,ST34,2024-05-28,19,238,236,21
P7,ST30,2024-07-17,260,152,83,329
P90,ST17,2024-07-30,161,201,4,358
P168,ST33,2024-11-12,141,248,142,247
P403,ST29,2024-08-30,396,49,286,159
P198,ST49,2024-01-05,444,252,76,620
P993,ST37,2024-06-07,432,138,10,560
P887,ST13,2024-07-08,44,278,255,67
P384,ST29,2024-02-25,308,87,50,345
P523,ST40,2024-07-12,279,142,141,280
P564,ST39,2024-01-26,221,62,65,218
P356,ST14,2024-03-08,190,147,102,235
P140,ST8,2024-01-30,487,247,179,555
P732,ST32,2024-10-02,458,9,93,374
P702,ST11,2024-07-12,8,111,64,55
P329,ST35,2024-04-18,190,241,5,426
P663,ST5,2024-11-30,311,48,206,153
P296,ST50,2024-11-02,332,48,217,163
P710,ST37,2024-08-27,332,32,186,178
P306,ST45,2024-09-26,479,86,180,385
P64,ST5,2024-11-06,198,278,266,210
P659,ST2,2024-11-04,383,180,106,457
P212,ST26,2024-06-30,202,292,111,383
P786,ST30,2024-08-09,127,277,137,267
P411,ST13,2024-06-03,112,220,3,329
P609,ST38,2024-01-02,41,129,217,-47
P93,ST49,2024-03-18,0,4,85,-81
P841,ST40,2024-03-31,63,258,61,260
P493,ST27,2024-10-05,219,204,28,395
P812,ST17,2024-06-11,71,204,206,69
P314,ST15,2024-11-13,14,267,288,-7
P62,ST33,2024-04-21,324,69,211,182
P434,ST30,2024-11-23,405,39,245,199
P603,ST32,2024-02-28,403,133,142,394
P821,ST50,2024-07-10,451,62,248,265
P359,ST7,2024-12-13,300,90,130,260
P573,ST39,2024-08-12,88,196,27,257
P459,ST16,2024-05-16,79,248,115,212
P818,ST11,2024-11-30,167,0,239,-72
P54,ST37,2024-11-25,429,173,169,433
P298,ST14,2024-10-31,90,137,14,213
P699,ST23,2024-09-14,62,112,39,135
P264,ST31,2024-05-10,348,234,33,549
P910,ST28,2024-05-30,395,13,35,373
P750,ST42,2024-07-20,179,45,282,-58
P781,ST5,2024-10-01,262,39,241,60
P711,ST24,2024-08-20,215,113,130,198
P335,ST18,2024-09-30,310,146,130,326
P358,ST4,2024-06-11,388,241,86,543
P428,ST23,2024-08-20,46,16,196,-134
P299,ST9,2024-05-16,489,209,187,511
P248,ST11,2024-08-10,352,231,124,459
P768,ST35,2024-12-15,165,192,129,228
P914,ST11,2024-08-16,359,69,114,314
P932,ST7,2024-01-12,298,293,99,492
P671,ST17,2024-01-17,197,144,205,136
P900,ST18,2024-08-06,135,72,267,-60
P333,ST26,2024-12-06,341,124,29,436
P807,ST47,2024-10-31,177,266,95,348
P94,ST49,2024-06-24,373,145,253,265
P183,ST26,2024-09-02,77,237,275,39
P19,ST17,2024-01-27,392,228,242,378
P196,ST10,2024-09-02,140,134,78,196
P65,ST30,2024-07-01,305,171,190,286
P808,ST15,2024-04-27,95,294,153,236
P352,ST48,2024-01-03,333,10,210,133
P204,ST47,2024-08-03,162,124,19,267
P76,ST26,2024-08-11,24,265,114,175
P724,ST41,2024-04-10,444,127,281,290
P971,ST28,2024-03-12,30,75,278,-173
P757,ST19,2024-12-20,246,109,13,342
P373,ST1,2024-05-30,48,223,85,186
P113,ST34,2024-07-26,170,7,221,-44
P542,ST38,2024-12-21,300,175,91,384
P759,ST24,2024-07-19,115,20,37,98
P492,ST41,2024-10-21,211,207,295,123
P512,ST24,2024-11-09,489,96,184,401
P991,ST18,2024-01-18,356,242,29,569
P412,ST1,2024-04-22,6,102,242,-134
P236,ST10,2024-06-30,201,261,247,215
P689,ST4,2024-10-13,133,58,226,-35
P605,ST14,2024-11-15,216,22,54,184
P169,ST21,2024-10-24,305,99,108,296
P598,ST26,2024-02-06,453,117,202,368
P109,ST38,2024-04-20,300,226,65,461
P305,ST5,2024-08-26,181,184,163,202
P157,ST15,2024-04-14,123,156,157,122
P641,ST24,2024-11-21,144,212,206,150
P981,ST10,2024-12-21,341,60,209,192
P287,ST35,2024-09-03,342,252,159,435
P283,ST17,2024-07-24,412,60,15,457
P291,ST32,2024-12-26,191,215,141,265
P8,ST9,2024-12-09,454,29,65,418
P40,ST31,2024-12-18,98,254,197,155
P954,ST41,2024-10-24,119,282,43,358
P712,ST15,2024-01-29,358,29,135,252
P134,ST50,2024-05-10,115,182,87,210
P655,ST3,2024-05-25,403,150,185,368
P789,ST40,2024-12-06,281,292,38,535
P933,ST35,2024-02-21,476,241,30,687
P710,ST13,2024-02-11,412,219,63,568
P310,ST22,2024-11-03,262,62,84,240
P413,ST48,2024-08-10,382,205,147,440
P954,ST7,2024-07-26,161,190,257,94
P857,ST20,2024-08-01,4,292,298,-2
P983,ST37,2024-05-06,204,96,255,45
P230,ST26,2024-01-02,389,114,39,464
P91,ST19,2024-02-20,479,30,57,452
P618,ST30,2024-12-25,483,205,112,576
P87,ST34,2024-01-17,288,152,85,355
P275,ST35,2024-05-20,170,152,268,54
P604,ST28,2024-06-30,442,173,122,493
P768,ST35,2024-08-14,288,285,107,466
P546,ST34,2024-06-01,210,278,246,242
P570,ST48,2024-07-20,360,126,222,264
P711,ST49,2024-04-18,188,142,234,96
P243,ST16,2024-03-15,145,20,244,-79
P397,ST48,2024-03-18,141,285,221,205
P260,ST32,2024-04-07,404,254,123,535
P907,ST17,2024-05-29,422,10,236,196
P178,ST24,2024-05-11,417,113,169,361
P533,ST5,2024-12-29,158,217,244,131
P572,ST12,2024-06-02,80,136,31,185
P405,ST22,2024-05-08,134,68,295,-93
P683,ST12,2024-01-10,340,46,75,311
P45,ST29,2024-04-09,70,238,203,105
P554,ST39,2024-01-02,128,161,90,199
P410,ST39,2024-01-29,341,32,25,348
P927,ST36,2024-11-11,277,64,106,235
P177,ST6,2024-03-29,86,178,269,-5
P383,ST48,2024-09-25,91,203,205,89
P708,ST8,2024-06-16,190,44,97,137
P515,ST6,2024-06-10,231,32,181,82
P807,ST30,2024-10-17,445,105,7,543
P48,ST19,2024-03-19,255,50,166,139
P149,ST30,2024-02-08,45,132,14,163
P230,ST25,2024-02-11,56,293,259,90
P18,ST10,2024-08-22,221,132,192,161
P481,ST48,2024-08-01,172,55,162,65
P243,ST2,2024-10-07,201,88,5,284
P618,ST46,2024-05-21,331,291,114,508
P163,ST43,2024-12-04,492,150,65,577
P32,ST24,2024-04-19,463,20,238,245
P122,ST28,2024-03-26,468,236,94,610
P439,ST34,2024-08-02,12,98,180,-70
P395,ST3,2024-09-13,494,105,210,389
P615,ST26,2024-10-12,451,299,18,732
P698,ST22,2024-05-12,292,216,12,496
P735,ST32,2024-08-09,93,257,123,227
P350,ST43,2024-09-09,473,107,263,317
P422,ST36,2024-07-23,141,142,91,192
P558,ST14,2024-06-07,292,230,55,467
P126,ST37,2024-05-14,250,174,116,308
P381,ST3,2024-05-06,472,203,293,382
P660,ST28,2024-09-02,102,133,270,-35
P360,ST26,2024-10-11,346,197,61,482
P26,ST40,2024-02-20,269,175,188,256
P651,ST10,2024-07-23,449,185,24,610
P706,ST44,2024-08-27,193,100,0,293
P359,ST26,2024-03-19,160,217,270,107
P977,ST40,2024-06-27,385,130,46,469
P728,ST23,2024-12-15,481,173,165,489
P862,ST7,2024-11-20,255,145,160,240
P37,ST34,2024-01-14,180,183,211,152
P390,ST12,2024-04-03,88,144,267,-35
P438,ST22,2024-01-23,54,287,249,92
P497,ST11,2024-03-20,172,75,5,242
P215,ST9,2024-12-09,292,212,214,290
P175,ST5,2024-02-12,154,153,289,18
P483,ST6,2024-02-25,217,166,5,378
P114,ST7,2024-04-16,179,115,187,107
P303,ST46,2024-09-01,494,99,153,440
P503,ST18,2024-12-30,341,33,176,198
P154,ST15,2024-04-03,126,18,273,-129
P281,ST1,2024-04-11,371,85,126,330
P420,ST48,2024-01-22,174,230,141,263
P277,ST15,2024-04-15,57,81,236,-98
P954,ST9,2024-08-02,134,256,86,304
P811,ST7,2024-07-08,140,167,57,250
P279,ST44,2024-01-30,47,151,231,-33
P65,ST9,2024-06-03,370,231,252,349
P955,ST44,2024-08-08,155,51,151,55
P317,ST11,2024-02-06,428,1,235,194
P330,ST3,2024-11-21,183,188,247,124
P601,ST13,2024-01-16,475,193,15,653
P86,ST5,2024-05-03,215,287,113,389
P239,ST32,2024-01-20,162,258,140,280
P200,ST22,2024-11-25,124,54,212,-34
P105,ST50,2024-12-23,310,282,154,438
P576,ST43,2024-08-16,352,203,37,518
P417,ST26,2024-11-25,420,7,178,249
P885,ST3,2024-08-23,136,275,150,261
P204,ST41,2024-11-10,369,179,143,405
P176,ST8,2024-08-01,386,272,45,613
P551,ST24,2024-06-08,115,108,215,8
P652,ST40,2024-05-24,129,288,113,304
P972,ST13,2024-08-05,441,202,207,436
P651,ST11,2024-05-24,277,97,266,108
P48,ST38,2024-03-06,212,78,232,58
P648,ST45,2024-01-29,484,87,14,557
P819,ST43,2024-08-25,279,167,185,261
P392,ST14,2024-05-11,205,185,17,373
P613,ST46,2024-10-12,309,82,249,142
P241,ST5,2024-07-07,224,22,226,20
P208,ST47,2024-07-22,400,102,196,306
P484,ST13,2024-06-10,185,6,285,-94
P896,ST24,2024-11-29,185,108,158,135
P722,ST16,2024-05-31,404,258,152,510
P620,ST29,2024-12-09,332,111,209,234
P341,ST19,2024-09-07,62,285,130,217
P68,ST17,2024-03-22,190,251,17,424
P370,ST31,2024-01-25,363,97,287,173
P71,ST48,2024-12-10,370,12,48,334
P98,ST29,2024-04-14,299,166,164,301
P994,ST32,2024-10-07,423,76,70,429
P621,ST46,2024-08-07,74,280,283,71
P164,ST17,2024-06-06,193,168,31,330
P869,ST7,2024-03-29,228,225,168,285
P798,ST38,2024-08-19,347,39,85,301
P602,ST5,2024-07-23,117,2,272,-153
P396,ST24,2024-09-14,194,250,9,435
P75,ST33,2024-06-10,462,97,16,543
P29,ST48,2024-01-16,429,296,55,670
P515,ST23,2024-06-24,151,156,233,74
P830,ST14,2024-05-31,327,3,138,192
P523,ST34,2024-05-09,197,280,126,351
P73,ST4,2024-02-08,479,251,16,714
P218,ST1,2024-12-24,488,254,191,551
P118,ST2,2024-07-27,434,97,121,410
P187,ST29,2024-05-30,98,148,54,192
P256,ST9,2024-01-12,119,107,206,20
P72,ST28,2024-03-17,253,122,260,115
P213,ST33,2024-03-09,204,258,106,356
P72,ST23,2024-05-22,475,78,119,434
P810,ST20,2024-02-29,361,210,250,321
P902,ST31,2024-11-15,387,176,41,522
P823,ST48,2024-11-15,377,67,211,233
P978,ST46,2024-06-12,253,286,130,409
P262,ST45,2024-08-02,158,259,96,321
P277,ST26,2024-09-25,448,124,284,288
P428,ST31,2024-09-14,285,207,107,385
P760,ST32,2024-09-17,455,165,131,489
P885,ST47,2024-02-09,39,261,177,123
P432,ST50,2024-02-08,237,216,276,177
P87,ST35,2024-06-11,116,294,216,194
P932,ST15,2024-02-10,378,110,187,301
P210,ST15,2024-06-21,13,72,11,74
P893,ST37,2024-06-10,43,164,4,203
P219,ST45,2024-08-22,219,97,282,34
P941,ST25,2024-08-05,161,39,102,98
P643,ST20,2024-10-24,166,247,176,237
P955,ST48,2024-12-28,131,167,275,23
P250,ST22,2024-01-17,215,292,127,380
P780,ST20,2024-04-22,410,125,284,251
P84,ST15,2024-02-04,297,49,246,100
P19,ST30,2024-07-22,138,266,210,194
P535,ST14,2024-06-11,373,205,291,287
P380,ST41,2024-12-22,342,251,96,497
P389,ST21,2024-09-18,105,7,135,-23
P563,ST50,2024-03-14,287,283,157,413
P915,ST17,2024-10-25,122,211,188,145
P509,ST5,2024-07-29,305,59,251,113
P268,ST15,2024-04-25,52,255,173,134
P92,ST43,2024-06-19,131,265,273,123
P697,ST27,2024-03-12,146,62,109,99
P421,ST44,2024-03-13,326,188,80,434
P290,ST39,2024-12-18,32,153,105,80
P762,ST20,2024-07-12,77,150,30,197
P80,ST41,2024-06-03,380,146,63,463
P319,ST35,2024-08-23,332,145,275,202
P885,ST17,2024-06-03,453,177,284,346
P644,ST9,2024-10-21,122,146,230,38
P438,ST43,2024-07-06,82,230,182,130
P879,ST46,2024-07-27,54,231,72,213
P234,ST42,2024-03-13,8,270,32,246
P310,ST4,2024-04-05,189,15,145,59
P6,ST16,2024-11-29,482,146,180,448
P391,ST16,2024-01-11,317,286,265,338
P802,ST29,2024-01-04,496,175,27,644
P68,ST44,2024-02-20,370,7,60,317
P911,ST32,2024-10-20,47,49,219,-123
P525,ST32,2024-02-20,248,188,187,249
P713,ST38,2024-02-17,345,87,86,346
P805,ST39,2024-10-18,67,12,153,-74
P977,ST40,2024-10-07,303,201,42,462
P422,ST38,2024-05-12,347,146,32,461
P718,ST39,2024-11-25,410,157,275,292
P229,ST41,2024-03-09,370,60,15,415
P927,ST16,2024-12-26,310,34,159,185
P962,ST45,2024-12-03,171,280,117,334
P366,ST15,2024-01-23,326,105,10,421
P467,ST18,2024-01-14,435,109,107,437
P723,ST4,2024-06-28,312,292,103,501
P828,ST37,2024-03-27,392,293,110,575
P269,ST40,2024-02-17,353,263,153,463
P917,ST4,2024-12-20,263,278,118,423
P95,ST17,2024-11-08,183,223,0,406
P172,ST17,2024-06-09,9,172,229,-48
P796,ST34,2024-10-20,192,128,267,53
P953,ST48,2024-01-06,369,245,72,542
P641,ST19,2024-05-28,455,8,94,369
P995,ST22,2024-01-27,255,295,211,339
P394,ST39,2024-11-20,44,155,146,53
P520,ST43,2024-05-13,166,96,95,167
P973,ST1,2024-10-22,301,135,118,318
P959,ST18,2024-06-01,230,292,286,236
P467,ST39,2024-11-20,272,209,21,460
P323,ST28,2024-07-08,81,273,120,234
P888,ST13,2024-03-19,225,111,75,261
P250,ST35,2024-02-15,482,203,82,603
P67,ST9,2024-03-01,127,76,65,138
P923,ST17,2024-03-21,370,74,259,185
P786,ST34,2024-09-29,322,79,157,244
P35,ST15,2024-02-17,331,43,150,224
P381,ST9,2024-02-02,189,77,276,-10
P812,ST39,2024-01-18,67,180,6,241
P610,ST19,2024-02-05,163,213,75,301
P990,ST11,2024-11-05,8,273,104,177
P904,ST24,2024-03-29,162,188,202,148
P639,ST21,2024-12-20,450,280,45,685
P85,ST18,2024-12-30,216,34,205,45
P430,ST26,2024-05-27,51,70,294,-173
P723,ST49,2024-04-09,117,211,194,134
P555,ST4,2024-12-28,345,282,99,528
P240,ST2,2024-01-31,100,220,245,75
P302,ST17,2024-01-21,111,137,102,146
P40,ST1,2024-05-07,346,74,215,205
P734,ST13,2024-12-22,411,160,168,403
P824,ST10,2024-10-16,313,234,31,516
P155,ST17,2024-08-17,466,245,221,490
P148,ST21,2024-07-03,151,204,163,192
P718,ST49,2024-06-13,58,186,69,175
P825,ST43,2024-09-13,36,137,183,-10
P12,ST9,2024-02-26,103,5,106,2
P753,ST31,2024-11-06,235,212,67,380
P535,ST35,2024-06-07,37,94,67,64
P12,ST10,2024-01-23,408,48,140,316
P117,ST49,2024-04-16,481,254,250,485
P108,ST48,2024-04-11,14,287,234,67
P684,ST48,2024-11-26,143,284,79,348
P39,ST15,2024-10-30,310,229,23,516
P554,ST45,2024-12-22,249,272,39,482
P734,ST2,2024-04-08,387,97,151,333
P48,ST38,2024-05-09,281,48,151,178
P347,ST3,2024-09-07,238,143,229,152
P856,ST26,2024-08-12,294,134,146,282
P835,ST33,2024-10-22,440,227,285,382
P478,ST49,2024-12-24,382,268,88,562
P547,ST24,2024-04-19,383,211,199,395
P768,ST33,2024-01-09,46,196,247,-5
P865,ST30,2024-05-01,473,123,223,373
P805,ST43,2024-10-25,431,234,237,428
P936,ST4,2024-12-18,91,77,107,61
P784,ST43,2024-02-20,176,270,191,255
P944,ST45,2024-07-31,164,297,240,221
P18,ST22,2024-02-19,37,273,96,214
P914,ST49,2024-12-08,99,135,228,6
P910,ST20,2024-07-22,61,153,265,-51
P736,ST29,2024-05-29,60,74,245,-111
P127,ST21,2024-04-01,201,21,151,71
P332,ST45,2024-03-31,117,255,227,145
P810,ST17,2024-01-10,480,68,130,418
P2,ST2,2024-07-28,7,128,46,89
P53,ST34,2024-07-13,293,34,228,99
P730,ST22,2024-01-30,105,183,87,201
P983,ST50,2024-05-29,291,222,207,306
P60,ST6,2024-04-01,468,125,52,541
P547,ST25,2024-07-19,55,130,207,-22
P960,ST2,2024-12-29,44,198,271,-29
P673,ST43,2024-10-23,305,128,259,174
P297,ST17,2024-05-23,19,297,23,293
P703,ST9,2024-03-09,446,57,238,265
P857,ST20,2024-05-21,182,228,158,252
P772,ST37,2024-01-14,417,221,87,551
P277,ST15,2024-06-23,101,223,250,74
P624,ST26,2024-09-28,362,84,87,359
P644,ST25,2024-12-24,347,239,159,427
P607,ST31,2024-02-12,287,259,78,468
